experiment,tau_c,tau_m,accuracy
exp2,80,0.50,0.433333
exp2,80,0.55,0.464286
exp2,80,0.60,0.507143
exp2,80,0.65,0.476190
exp2,80,0.70,0.438095
exp2,80,0.75,0.402381
exp2,80,0.80,0.373810
exp2,90,0.50,0.433333
exp2,90,0.55,0.461905
exp2,90,0.60,0.511905
exp2,90,0.65,0.480952
exp2,90,0.70,0.433333
exp2,90,0.75,0.397619
exp2,90,0.80,0.366667
exp2,100,0.50,0.400000
exp2,100,0.55,0.430952
exp2,100,0.60,0.485714
exp2,100,0.65,0.450000
exp2,100,0.70,0.388095
exp2,100,0.75,0.364286
exp2,100,0.80,0.354762
exp1,80,0.50,0.410072
exp1,80,0.55,0.426190
exp1,80,0.60,0.421429
exp1,80,0.65,0.371429
exp1,80,0.70,0.378571
exp1,80,0.75,0.354762
exp1,80,0.80,0.347619
exp1,90,0.50,0.390476
exp1,90,0.55,0.411905
exp1,90,0.60,0.416667
exp1,90,0.65,0.366667
exp1,90,0.70,0.376190
exp1,90,0.75,0.352381
exp1,90,0.80,0.342857
exp1,100,0.50,0.373810
exp1,100,0.55,0.390476
exp1,100,0.60,0.409524
exp1,100,0.65,0.361905
exp1,100,0.70,0.352381
exp1,100,0.75,0.338095
exp1,100,0.80,0.340476
